"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
Six Pièces: II. Scherzetto,Jacques Ibert,13,['early modern classical'],0.331,0.0448,1,-25.389,1,0.0471,0.99,0.891,0.102,0.127,120.839
Concertino da camera: I. Allegro con moto,Jacques Ibert,13,['early modern classical'],0.226,0.304,5,-14.48,1,0.0357,0.987,0.889,0.353,0.251,81.043
I'm Walking,Perquisite,38,['dutch jazz'],0.713,0.459,10,-8.12,0,0.405,0.215,0.203,0.303,0.402,175.242
Opronology,Benjamin Herman,32,['dutch jazz'],0.401,0.474,9,-8.127,0,0.0271,0.00527,0.579,0.0951,0.312,173.954
Trouble,Benjamin Herman,26,['dutch jazz'],0.721,0.472,7,-9.393,0,0.0678,0.846,1.02e-05,0.0751,0.541,80.456
A Slow Hot Wind,Benjamin Herman,25,['dutch jazz'],0.345,0.208,9,-13.159,0,0.0302,0.931,0.000194,0.302,0.472,161.004
Groovin' On Wax,Perquisite,24,['dutch jazz'],0.864,0.713,7,-7.615,1,0.32,0.288,0.0657,0.134,0.393,90.031
Oblivion,Astor Piazzolla,1,[],0.0802,0.0226,0,-24.139,0,0.0475,0.994,0.931,0.0779,0.158,61.448
Six Bagatelles for Wind Quintet: I. Allegro con spirito,György Ligeti,1,[],0.577,0.102,0,-19.212,1,0.156,0.984,0.923,0.0534,0.373,168.09
"Chorale Allein Gott in der Höh sei Ehr, BWV 260",Johann Sebastian Bach,1,[],0.177,0.00242,7,-29.16,1,0.045,0.994,0.964,0.11,0.326,85.018
"Chorale Ach Gott, erhör mein Seufzen und Wehklagen, BWV 254",Johann Sebastian Bach,1,[],0.268,0.00229,2,-30.348,0,0.0419,0.988,0.855,0.126,0.293,103.486
"Rêverie for Piano, L. 76",Claude Debussy,1,[],0.114,0.0176,5,-26.795,1,0.0461,0.992,0.833,0.101,0.0396,89.797
Miserere,James MacMillan,30,"['british contemporary classical', 'contemporary classical']",0.173,0.0359,4,-26.436,0,0.0458,0.987,0.00682,0.138,0.0323,129.138
Violin Concerto: II. Song,James MacMillan,26,"['british contemporary classical', 'contemporary classical']",0.188,0.0434,11,-30.422,0,0.0409,0.775,0.034,0.0747,0.0405,91.138
O Radiant Dawn,James MacMillan,22,"['british contemporary classical', 'contemporary classical']",0.182,0.0696,0,-24.836,0,0.0457,0.986,0.276,0.111,0.0317,135.037
Oboe Concerto: Oboe Concerto: III. Allegro,James MacMillan,22,"['british contemporary classical', 'contemporary classical']",0.348,0.306,4,-15.743,1,0.0597,0.923,0.934,0.155,0.16,99.036
Strathclyde Motets: O Radiant Dawn,James MacMillan,17,"['british contemporary classical', 'contemporary classical']",0.205,0.124,0,-23.054,0,0.0405,0.991,0.000121,0.321,0.0364,80.249
"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",Camille Saint-Saëns,65,"['classical', 'late romantic era']",0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143
"Carnival of the Animals, R. 125: The Swan",Camille Saint-Saëns,56,"['classical', 'late romantic era']",0.211,0.00756,7,-33.123,1,0.0455,0.994,0.89,0.0734,0.0391,118.247
Le Cygne,Camille Saint-Saëns,56,"['classical', 'late romantic era']",0.116,0.059,7,-26.632,1,0.0446,0.983,0.913,0.152,0.0393,94.137
"Saint-Saëns / Transcr. Vidal for Cello and Orchestra: Le carnaval des animaux, R. 125: XIII. Le cygne",Camille Saint-Saëns,55,"['classical', 'late romantic era']",0.193,0.0329,7,-28.228,1,0.046,0.972,0.929,0.0978,0.0366,82.165
"Le carnaval des animaux, R. 125 (Arr. for 2 Pianos & Orchestra): XIII. Le cygne",Camille Saint-Saëns,55,"['classical', 'late romantic era']",0.2,0.0128,7,-35.392,1,0.0446,0.99,0.73,0.103,0.0572,77.847
